2024-06-26 15:32:46,330 - matplotlib.pyplot - DEBUG - Loaded backend module://backend_interagg version unknown.
2024-06-26 15:32:46,396 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-06-26 15:32:46,397 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,397 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,398 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-06-26 15:32:46,398 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,398 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-06-26 15:32:46,398 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,399 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-06-26 15:32:46,399 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2024-06-26 15:32:46,399 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,399 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,399 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,400 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-06-26 15:32:46,400 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-06-26 15:32:46,400 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,400 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-06-26 15:32:46,400 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,401 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-06-26 15:32:46,401 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,401 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
